Title,Genres,Average Rating,Num Votes,Release Year
The Shawshank Redemption,Drama,9.3,2956023,1994
The Godfather,"Crime, Drama",9.2,2060807,1972
The Chaos Class,Comedy,9.2,43628,1975
Ramayana: The Legend of Prince Rama,"Action, Adventure, Animation",9.2,15467,1993
The Silence of Swastika,"Documentary, History",9.1,10569,2021
The Dark Knight,"Action, Crime, Drama",9,2937756,2008
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",9,2023829,2003
Schindler's List,"Biography, Drama, History",9,1482766,1993
The Godfather Part II,"Crime, Drama",9,1392354,1974
12 Angry Men,"Crime, Drama",9,890149,1957
Pulp Fiction,"Crime, Drama",8.9,2270247,1994
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",8.9,2053650,2001
Mirror Game,"Crime, Mystery, Thriller",8.9,30082,2016
Tosun Pasha,"Comedy, History",8.9,25039,1976
The Chaos Class Failed the Class,Comedy,8.9,25016,1975
O.J.: Made in America,"Biography, Crime, Documentary",8.9,22644,2016
The Message,"Action, Adventure, Biography",8.9,10983,1976
Inception,"Action, Adventure, Sci-Fi",8.8,2607032,2010
Fight Club,Drama,8.8,2388290,1999
Forrest Gump,"Drama, Romance",8.8,2313221,1994
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",8.8,1824648,2002
"The Good, the Bad and the Ugly","Adventure, Drama, Western",8.8,828338,1966
12th Fail,"Biography, Drama",8.8,132317,2023
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,"Action, Animation, Fantasy",8.8,25852,2021
The Foster Brothers,Comedy,8.8,21374,1976
The Marathon Family,"Comedy, Drama",8.8,17255,1982
#Home,"Drama, Family",8.8,15991,2021
Balkan Spy,"Comedy, Drama",8.8,12652,1984
The Phantom of the Opera at the Royal Albert Hall,"Drama, Musical, Romance",8.8,10153,2011
Interstellar,"Adventure, Drama, Sci-Fi",8.7,2182644,2014
The Matrix,"Action, Sci-Fi",8.7,2099015,1999
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",8.7,1407106,1980
Goodfellas,"Biography, Crime, Drama",8.7,1286647,1990
One Flew Over the Cuckoo's Nest,Drama,8.7,1091136,1975
Jai Bhim,"Crime, Drama, Mystery",8.7,221088,2021
Soorarai Pottru,Drama,8.7,125865,2020
Rocketry: The Nambi Effect,"Biography, Drama",8.7,59780,2022
777 Charlie,"Adventure, Comedy, Drama",8.7,41718,2022
Nayakan,"Crime, Drama",8.7,25467,1987
Stop Making Sense,"Documentary, Music",8.7,21645,1984
The Chaos Class Is Waking Up,Comedy,8.7,21187,1976
Pariyerum Perumal,Drama,8.7,19029,2018
"Saban, Son of Saban",Comedy,8.7,19018,1977
"Feyzo, the Polite One","Comedy, Drama",8.7,17643,1978
Kill Bill: The Whole Bloody Affair,"Action, Crime, Thriller",8.7,17471,2006
Who's Singin' Over There?,"Adventure, Comedy, Drama",8.7,16921,1980
Peranbu,"Drama, Family",8.7,16857,2018
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,"Action, Animation, Fantasy",8.7,16829,2020
